They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
The only thing I is enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their t. food special with eaten c. .####[['t. food special with eaten c.', 'food quality', 'positive']]
may only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately had was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their food eaten special with t. t. .####[['food eaten special with t. t.', 'food quality', 'positive']]
The only thing em moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their c. food special with t. t. .####[['c. food special with t. t.', 'food quality', 'positive']]
The only thing I moderately enjoyed which their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed which their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their c. eaten special with eaten c. .####[['c. eaten special with eaten c.', 'food quality', 'positive']]
The only thing em moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I outrageously enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was itself Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only might I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only does I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only might I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The sign thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The you thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed which their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The you thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their food eaten special with c. t. .####[['food eaten special with c. t.', 'food quality', 'positive']]
The only thing I moderately enjoyed was their eaten t. special with eaten t. .####[['eaten t. special with eaten t.', 'food quality', 'positive']]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only it I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing 'em moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed were their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately had was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing 'cause moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their eaten eaten special with t. t. .####[['eaten eaten special with t. t.', 'food quality', 'positive']]
may only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only might I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately o'clock was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The sign thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
The only thing I moderately enjoyed was their c. food special with t. t. .####[['c. food special with t. t.', 'food quality', 'positive']]
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .####[('Grilled Chicken special with Edamame Puree', 'food quality', 'positive')]
